R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\wallet\WalletController.java|90-95|B|P0|演示充值开关默认开启且无支付网关（app.demo-recharge.enabled:true + 直接入账）|生产未显式关闭时任意用户可免费无限充值（单次上限 1 亿元分 × 每日 5 次），资金/账务风险|默认关闭并在启动时校验 profile，接入支付网关回调前禁止入账|open|batch-1
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\VideoCallService.java|179-186|B|P1|startedAt 全仓无任何赋值（grep setStartedAt 仅实体 setter），endCall 时长恒 0|通话时长恒为 0、记录状态恒 MISSED，CONNECTED 不可达，通话记录失真|接通信令时设置 startedAt/ONGOING|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\VideoCallController.java|59-95|F|P1|视频通话无接听/拒绝端点（仅 start/end/records），RINGING 无法流转 ONGOING|呼叫方只能发起与挂断，被叫方无任何操作入口，视频通话功能不可用|补接听/拒绝信令端点|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RealRecommendationService.java|388-390|B|P1|推荐配额在缓存命中前扣减，首页/聊天概览/发现页多个入口每次拉取均扣配额|用户浏览首页+聊天+发现即消耗 3 次配额，缓存期内翻页重复扣减，配额经济失真|配额扣减移入缓存 miss 路径并按入口去重|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealCheckInService.java|434-478|B|P1|补签 costPoints（首免后每次 50 积分）仅返回视图，从不调用 walletService.deduct 扣减|契约（check-in.yaml：subsequent ones cost 50 growth points）失配，月 3 次补签全部免费，积分经济断链|补签时真实扣减钱包并写 DEBIT 流水|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealSocialProgressService.java|84-211|F|P1|recordExposure/recordLike/recordMatch/recordChat 等 6 个方法全仓无调用方（grep 确认）|社交升温漏斗计数恒为 0，层级永卡 L1，漏斗功能是空壳|在 like/match/chat 主链路埋点调用|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\RealPostTagService.java|84-142|F|P1|post_tag 表无任何写入方（全仓无 PostTag save；createPost 仅写 posts.tags JSON）|按标签查帖子/热门话题恒为空，标签功能断链|createPost 同步写 PostTag 或改为 JSON 内过滤|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\wallet\WalletController.java|202|B|P2|演示充值每日计数用 LocalDate.now() 无 ZoneId（服务器时区决定"今日"）|跨时区部署每日 5 次限额按服务器日切分，与用户自然日不一致|统一使用 ZoneId 注入|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\wallet\WalletController.java|205-230|B|P2|Redis 计数失败降级本地内存 ConcurrentHashMap（单实例方案）|多实例部署 Redis 抖动时每日 5 次限额可被多实例各自计数突破|降级改为拒绝服务或共享存储|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\wallet\WalletServiceImpl.java|204-210|B|P2|recharge 幂等分支缺 userId 归属校验（deduct 有 R2-00266 校验而 recharge 没有）|同 orderId 跨用户调用时返回他人 balanceAfter，信息泄露|与 deduct 对齐增加归属校验|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchPolicy.java|96-216|B|P2|like/rewind 每日计数 LocalDate.now() 无 ZoneId（三处同模式）|每日限额按服务器时区切分，跨时区用户限额错乱|统一 ZoneId|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\RealMatchService.java|222-229|B|P2|likeUser 在幂等检查前先 tryIncrementLike 扣配额，重复喜欢（ALREADY_LIKED）也消耗一次配额|重复喜欢/取消后重喜欢消耗每日 30 次配额，限流失真|幂等命中路径回滚配额|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchController.java|200-229|F|P2|super-like 完全免费且无限量，与普通 like 无成本差异|每日 30 次普通喜欢限额可被 super-like 无限绕过，商业化缺口且契约（likes.yaml）未文档化|为 super-like 配置配额/扣费|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\PrivateMessageController.java|171|B|P2|SendMessageRequest kind 正则允许客户端发送 SYSTEM 类型消息|用户可伪造系统消息推送给对方，消息可信度受损|SYSTEM 仅限服务端写入|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RecommendationRanker.java|579-580|B|P2|loadBadgeLevelMap 全表加载 APPROVED 认证记录再内存过滤（findByStatusOrderBySubmittedAtDesc("APPROVED")）|用户量增长后每次推荐全表扫描认证表，DB 压力与内存占用随规模线性增长|WHERE userId IN 下推 SQL|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\PrivacyFieldFilter.java|56-77|B|P2|ALLOWED_FIELDS 白名单与实际 RecommendedPersonView 字段漂移（displayId/incomeRange/occupation 等 14 个字段不在白名单），assertFieldsInWhitelist 无人调用|收入档位等敏感字段随推荐列表对全体用户公开，白名单防护形同虚设|同步白名单并将 incomeRange 移出公开视图|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RecommendQuotaService.java|104-129|B|P2|推荐配额计数 LocalDate.now() 无 ZoneId|跨时区每日配额按服务器日切分|统一 ZoneId|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\VillageQueryService.java|255-259|F|P2|discover 分类的 discoverSub 子标签（all/alumni/hometown/buddy）被忽略，恒返回全量 active 帖子|前端三级 Tab 筛选无效，功能为占位|按子标签实现过滤或移除参数|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\location\LocationService.java|25-31|F|P2|IP 归属仅按 5 条演示网段表匹配，其余公网 IP 一律返回默认"南京"（DEMO_CITY_NETS 进生产）|同城 Tab 城市标注基本失真，演示数据进入真实模式|接入真实 IP 归属库|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\clientconfig\LegalTextProvider.java|38-76|H|P2|法律文本含 example.com 假邮箱与"400-xxx-xxxx"占位客服热线（privacy@campuslove.example.com）|合规文本联系方式失实，用户无法按文本联系运营，合规风险|替换为真实联系方式|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\feedback\RealFeedbackService.java|163-170|F|P2|convertProposal 仅改状态不创建 Activity（convertedActivityId 恒 null，注释自认"暂时不创建"）|活动提案转活动是空操作，运营闭环断裂|转换时真实创建 Activity|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\ai\AiVideoController.java|65-90|B|P2|付费 AI 生成接口仅按 IP 限流（0.2/s），无用户级配额/成本控制|登录用户可持续调用付费上游接口烧钱（约 12 次/分钟/IP）|加用户级每日配额与熔断|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\docs\openapi\recommendations.yaml|73-160|B|P2|文档化 /recommendations/cards、/cards/{id}/pass、/cards/{id}/like、/cards/history 端点，实现中全部不存在|契约与实现失配，按文档接入的前端全部 404|删除失配端点或补齐实现|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\wallet\WalletController.java|175-182|H|P3|硬编码中文错误提示（"演示充值已关闭，请通过官方充值渠道完成支付"等）|错误文案无法 i18n|移入消息资源|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\wallet\WalletController.java|272-283|H|P3|/wallet/deduct 客户端直调白名单含 ADMIN_ADJUST（管理语义）与 SWEET_TALK（预留）|普通用户可伪造"管理员调整/情话解锁"类型流水，账单语义污染|白名单剔除管理/预留类型|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\vip\AutoRenewService.java|83-84|D|P3|vipBillRepository 用 @Autowired(required=false) 字段注入（单测兼容降级）|生产若注入失败权益延长静默降级为仅日志，无失败可见性|改构造器注入并移除降级分支|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\vip\AutoRenewController.java|24-26|T|P3|javadoc 路径 /api/vip/auto-renew/status 与实现 /api/v1/vip/auto-renew/status 失配|文档误导调试|修正 javadoc|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchEngine.java|148-150|D|P3|findAndScoreCandidates 每次匹配全量分页加载候选用户实体（含大字段）|匹配请求的 DB 载荷随用户量线性增长|投影查询/裁剪字段|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\NotificationController.java|96-100|T|P3|/count 与 /unread-count 两个端点返回同一数据（重复端点）|端点冗余|合并保留一个|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RecommendationRanker.java|397-630|B|P3|Math.abs(hashCode()) 对 Integer.MIN_VALUE 仍为负数（whisper/距离/头像取模）|极端 ID 时索引越界 500（概率极低但真实存在）|用 Math.floorMod|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RealCircleService.java|490-506|D|P3|getReplies 全量加载话题回复再内存分页（findByTopicIdOrderByCreatedAtDesc 无分页）|高回复话题内存占用随回复数增长|SQL 侧分页|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\WeChatPushService.java|35-39|H|P3|微信 access_token/订阅消息 URL 硬编码字面量|URL 变更需改代码发版|外部化配置|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\WeChatPushService.java|121|B|P3|getAccessToken 中 response.getExpiresIn() 未判空直接 -300（Integer 拆箱）|微信异常响应缺 expires_in 时 NPE|判空兜底|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealAppConfigService.java|93-95|T|P3|videoFallback 三元表达式两分支同值（恒 DEFAULT_VIDEO_FALLBACK）|死代码逻辑误导|移除三元直接赋值|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\RealPostTagService.java|119-142|D|P3|getPopularTags 每标签 2 次查询（8 标签 ≈ 16 次 SQL/请求）|热门话题页 DB 压力|单条聚合 SQL|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\RealVillageService.java|217-219|T|P3|listHotPosts 双重 @Cacheable 同键（RealVillageService+QueryService）+ 全仓无调用方|死代码 + 嵌套缓存叠加|删除外层或内层并接入端点|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\campus\CampusController.java|267-279|F|P3|/certification/simulate 模拟认证端点暴露在生产 API 面（real 下恒 501）|生产面存在演示残留端点|real profile 移除端点映射|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\search\UserIndexSyncListener.java|54-76|T|P3|ES 用户索引同步为桩实现（仅日志，TODO 待接入）|认证审批后"索引同步"是假功能，搜索筛选依赖的认证字段永不更新|接入真实 ES 客户端或移除声明|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\clientconfig\LegalTextProvider.java|64|T|P3|用户协议声称提供"VIP 会员、虚拟币打赏"功能，实际 VIP 已下线|法律文本与产品现状失配|同步协议文本|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\clientconfig\ClientDbConfigController.java|106-122|D|P3|/config/match-config 向所有登录用户暴露匹配算法权重（campusWeight 等内部参数）|内部算法参数对外可见|收敛为业务可配置项|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\report\ErrorReportController.java|62-77|D|P3|context 以 JsonNode 接收无大小上限（@Size 不作用于 JsonNode）|超大 context JSON 全量落库撑大 error_reports 表|限制 JSON 字节数|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\docs\openapi\likes.yaml|471|T|P3|/matches/dto 已删除端点仍文档化，且 /matches/super-like 未文档化|契约文档与实际 API 失配|同步文档|open|batch-4
