R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\AesEncryptor.java|88|H|P0|strictAes=false 时未配置 APP_AES_SECRET 回退硬编码公开兜底密钥 "campus-love-default-aes-key-change-in-production-32bytes"（secret = "campus-love-default-aes-key..."）|openid/phone 等敏感字段用公开密钥 AES-GCM 加密约等于明文，数据库泄露即可解密接管用户身份|删除兜底密钥，未配置密钥且非严格模式时拒绝加密写操作；生产启动强制 strictAes|open|batch-1
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\ThirdPartyAuthService.java|139-163|B|P1|doLogin 命中既有绑定记录路径未检查 user.isDisabled()，禁用用户仍可经微信/Apple 第三方登录签发 JWT|管理员封禁可被第三方登录路径绕过，账号管控失效|doLogin 增加 isDisabled 校验（对齐 RealAuthService.loginWithWechat）|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\ThirdPartyAuthService.java|60,70,193|H|P3|注入 AesEncryptor 从未使用；unionId 明文存 third_party_accounts.union_id（setUnionId(unionId)）|死依赖 + 敏感标识明文落库|删除未用依赖；unionId 加密或哈希存储|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\ThirdPartyAuthController.java|95-101|D|P3|GET /bindings 无 @PreAuthorize，仅依赖 SecurityConfig 的 /api/v1/** 路径规则|权限语义分散，路径规则调整时易漏保护|显式 @PreAuthorize("hasRole('USER')")|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\ThirdPartyAuthController.java|113-119|D|P3|bindThirdParty 绑定被他人占用/已绑定该平台时静默返回 {success:false}，客户端无法区分原因|用户困惑，无错误提示与重试指引|返回区分业务错误码（ALREADY_BOUND / OPENID_TAKEN）|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\AuthController.java|123-126|B|P1|phoneLogin 公开端点无 @RateLimit（对比 wechat-login/admin/login 均有 10/0.1 限流）|手机号+密码可无限次爆破尝试，撞库/枚举风险|补 @RateLimit(capacity=10, refillTokens=0.1, key=IP)|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\AuthController.java|111-115|B|P2|register 公开端点无 @RateLimit，且已注册手机号返回 400 "该手机号已注册"|注册接口可批量刷量；错误文案可枚举手机号是否注册|加限流；注册/登录失败统一文案防枚举|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\AuthController.java|296-306|T|P2|loginAsAdmin 通过 Environment/AbstractEnvironment 类型反射 + getActiveProfiles().contains("mock") 判断 mock profile|逻辑晦涩、强依赖 Spring 内部类，维护与测试成本高|注入配置标志或 Profile 解析器|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\AuthController.java|273-274|B|P2|/admin/login 标注 @Idempotent(required=true)，幂等键在业务执行前 SETNX 且失败不释放|密码输错一次后同 key 重试 4 小时内被 409 拦截，前端复用 key 则登录锁死|登录失败后释放幂等键或 required=false|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\RateLimited.java|33|T|P2|config.RateLimited 注解与 RateLimitConfig AOP 切面全项目无任何业务引用（grep 仅自身定义），实际限流走 com.campuslove.api.ratelimit.RateLimit|两套限流框架并存，一套死代码，维护者易误用|删除 config 包死代码或统一到一套框架|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\WechatAuthController.java|76-114|T|P3|与 AuthController.loginWithWechat(/wechat-login 旧路径) 重复实现同一登录端点与指标埋点|双端点双实现，响应契约漂移风险|合并为单端点保留兼容别名|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\MockAuthService.java|77-81|H|P3|mock 管理员登录日志输出原始 username（log.info("mock 管理员登录, username={}", username)）|mock 模式低危，但演示数据污染日志|脱敏输出|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\WeChatClient.java|92-99|B|P1|devFallbackEnabled 开启时任意 code 派生固定 openid（"dev-wechat-"+code）直接走真实登录/注册链路|生产误开 WECHAT_DEV_FALLBACK_ENABLED 即可无凭据伪造微信身份登录任意新账号|生产 profile 启动强校验该开关必须为 false|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\WeChatClient.java|46|H|P3|jscode2session 默认 URL 字面量硬编码于 @Value 默认值（https://api.weixin.qq.com/sns/jscode2session）|可配置兜底，默认正确，低危|保持配置注入即可|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtAuthenticationFilter.java|159-160|T|P2|每请求 userRepository.findById 查库判定角色/禁用状态（注释自认"每次请求都查询数据库"）|高并发下每请求一次 DB 往返放大数据库压力|角色/状态写入 JWT claims 或短 TTL 本地缓存|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtAuthenticationFilter.java|103-110|B|P2|/api/v1/media/** 支持 ?token= 查询参数携带完整 JWT|token 进入 URL，可能泄露到访问日志/Referer/浏览器历史|改签名短时 URL 或 Referer 校验|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtAuthenticationFilter.java|132-139|B|P3|jti 黑名单与完整 token 黑名单双轨并存；isTokenRevoked 在 Redis 可用但 key 缺失时直接返回 false 忽略本地内存|Redis 故障期间撤销的 token 在 Redis 恢复后跨实例仍被接受|统一为 jti 单黑名单并合并本地降级|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtTokenProvider.java|313|B|P3|revokeToken 将完整 JWT 写入 Redis（key=jwt:blacklist:{完整token}），与 jti 黑名单机制重复|Redis 被入侵即拿到全部在册 token，双机制冗余|废弃完整 token 黑名单，统一走 jti|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtTokenProvider.java|36|H|P3|JWT 默认有效期 24h（expirationMs=86400000L）写死于配置类默认值|长生命 token 泄露窗口 24h，且无滑动会话|缩短默认并强制刷新策略|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\JwtAuthenticationEntryPoint.java|76-81,107-109|B|P2|commence 自行 UUID 生成 traceId，未复用 MDC 中 TraceIdFilter 注入的 traceId（对比 GlobalExceptionHandler.generateTraceId 读 MDC）|401 响应的 X-Trace-Id 与请求链路 traceId 不一致，日志串联断裂|改为优先读 MDC|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\SecurityConfig.java|193-212|D|P3|CORS 规则在 SecurityConfig.corsConfigurationSource 与 WebConfig.addCorsMappings 两处实现，需手工保持 allowedMethods/Headers 一致|配置漂移风险（WebConfig 已含 X-Trace-Id 而 SecurityConfig 未含）|收敛为单一配置源|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\MockSecurityConfig.java|181-191|B|P1|mock 模式 /api/v1/admin/** 自动注入 ROLE_ADMIN+ROLE_USER，principal 固定 1L|mock profile 一旦被误带生产，所有管理端点匿名可用，鉴权整体失效|mock profile 启动强校验环境隔离；principal 使用可配置 mock 用户|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtChannelInterceptor.java|30-33|T|P2|JwtChannelInterceptor/WebSocketConfig 无 @Profile 限制，mock 模式同样强制真实 JWT 校验（mock-token 无法通过 validateToken）|mock 模式 WebSocket 连接必然失败，双 profile 行为不一致|mock 分支跳过校验或提供 mock 校验器|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtChannelInterceptor.java|93-96|B|P3|CONNECT 校验仅 validateToken（签名/过期），未校验用户是否被禁用|禁用用户仍可建立 WebSocket 长连接|补查用户状态|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\WebSocketConfig.java|224-243|D|P3|握手 token 从 Sec-WebSocket-Protocol 子协议头提取，但服务端未将 bearer.{token} 写回响应子协议头|浏览器原生 WebSocket 子协议需服务端回显才生效，可能连接被拒|响应头回写所选子协议|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\GlobalExceptionHandler.java|115-120|B|P3|handleIllegalArgument 原样透传 ex.getMessage() 给客户端|内部实现细节随异常消息外泄|生产 profile 脱敏 message|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\GlobalExceptionHandler.java|370-376|B|P3|handleEntityNotFound 透传 ex.getMessage() 给客户端|实体层异常消息（可能含查询线索）外泄|固定文案|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\RedisConfig.java|321-324|B|P2|Jackson2JsonRedisSerializer 启用 default typing(NON_FINAL + PROPERTY) 写入 @class 类型信息|多态反序列化攻击面，Redis 可写场景下存在 gadget 风险|改为白名单 ObjectMapper 或仅对受信类型开启|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\RateLimitConfig.java|70-71|B|P2|RateLimiter.buckets ConcurrentHashMap 无清理机制，按 IP/用户限流键只增不减|长期运行内存持续增长直至 OOM 风险|定期清理空闲桶或 LRU|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\common\IdempotentInterceptor.java|139-156|B|P2|SETNX 写入幂等键发生在业务执行前，业务失败后不删除键（仅 TTL 到期释放）|接口失败后同 key 重试 4 小时被 409 拦截，客户端需手工换 key|按业务结果释放或缩短失败场景 TTL|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\OnlineUserService.java|183|B|P2|listOnlineSessions 使用 redisTemplate.keys("online:user:*") 全量扫描|生产 Redis KEYS 命令阻塞主线程，在线用户量大时卡顿|改用 SCAN 迭代|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\OnlineUserService.java|86|H|P3|TTL 兜底硬编码 24L*3600*1000 毫秒，与 JwtConfig 默认 86400000 重复|两处默认值漂移风险|引用同一配置源|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\OnlineUserService.java|277-279|B|P2|loginAtIso 使用 ZoneId.systemDefault()（DB 固定 serverTimezone=Asia/Shanghai，JVM 可能 UTC）|在线列表时间可能偏移 8 小时|固定 Asia/Shanghai 或 UTC 统一|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileVisitorController.java|205-207|B|P2|"当天去重"窗口用 LocalDate.now().atStartOfDay()（系统默认时区）|跨时区部署时访问去重窗口错位，同日去重失效|固定时区计算日界|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileVisitorController.java|229-233|B|P3|访客记录唯一约束冲突被静默吞掉视为已记录（catch DataIntegrityViolationException 仅日志）|并发时返回的 visitedAt 与落库时间可能不一致|吞异常属可接受，但应返回既有记录视图|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\dto\DtoMapper.java|259-264|B|P1|toInstant 使用 ZoneId.systemDefault() 将 LocalDateTime 转 UTC Instant（DTO 声称 UTC 无歧义）|JVM 时区与 DB（Asia/Shanghai）不一致时全部时间戳偏移 8 小时|显式指定 Asia/Shanghai 时区转换|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\dto\DtoMapper.java|97-109|T|P3|toUserBriefDto 的 isVerified/isVip 恒为 null（User 主表无关联字段，注释自认）|列表端认证/VIP 徽章缺失|调用方批量补充关联字段|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\FollowService.java|72-79|B|P2|followUser existsBy 检查后直接 save，无 DataIntegrityViolationException 兜底|并发重复关注（不同幂等键）唯一约束冲突 500|捕获冲突转业务异常|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\FollowService.java|85-86|B|P3|FollowView 计数取自实体陈旧值（getFollowingCount()+1），与 DB 原子递增可能不一致|客户端展示计数与实际 DB 值不符|返回 DB 更新后计数或忽略视图计数|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileUpdateService.java|177-179|B|P2|saveBasicProfile 接受客户端 avatarUrl 直接写入 users.avatar_url，无 URL 白名单/归属校验|可注入任意外部 URL 冒充头像（钓鱼/第三方追踪像素）|仅允许本服务媒体存储返回的 URL|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileUpdateService.java|128-134|B|P3|昵称/简介敏感词仅替换为 *** 且不拒绝（filterWithLog），服务端无强制审核|违规词可经拆分/谐音绕过内容审核|服务端敏感内容策略补充拒绝+记录|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\MockProfileService.java|270|T|P3|doUpload 硬编码 userId=1L 上传媒体（注释"与 MockSecurityConfig 默认 principal 一致"）|mock 专属低危，但两处 1L 隐性耦合|统一 mock 常量|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\RealProfileService.java|68-72|T|P3|生产类暴露两个 public 构造器（其一注释"用于单元测试"）|Spring 多构造器易混淆，测试代码侵入生产类|测试构造器改包级可见或测试专用工厂|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileQueryService.java|449-479|T|P3|暴露 getUserRepository 等 5 个 public 内部访问器（注释称"仅供同包内使用"）|封装破坏，跨包越权使用风险|改 package-private|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\user\UserController.java|82-96|D|P3|getFollowers/getFollowing 无分页参数，全量返回关注/粉丝列表|粉丝量大时响应膨胀|加分页参数|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\MessagingFallback.java|111-115|B|P3|discard 日志输出完整 message 体（log.warn("消息已丢弃...message={}", message)）|消息内容（可能含用户隐私）泄露至日志|截断/脱敏后记录|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\AuthService.java|36-43|T|P3|接口 javadoc 仍写"登出仅记录日志；生产环境如需 token 黑名单可在此扩展"，与黑名单实现矛盾|过时注释误导维护者|更新注释|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\OpenApiConfig.java|86|H|P3|默认联系人邮箱硬编码 dev@campuslove.example.com（OPENAPI_CONTACT_EMAIL 未配置时）|占位邮箱进入公开 API 文档|默认空值|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\SensitiveWordFilter.java|164-165|B|P3|filterWithLog 每次敏感词命中以 WARN 级别记录|高频命中时日志刷屏|降级 INFO 并聚合统计|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\ContentFilterController.java|40-56|D|P3|敏感词预检端点 permitAll 且无任何限流，每次请求全词库正则扫描（上限 5000 字符）|匿名可高频调用消耗 CPU|补限流|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\AdminOpenidValidator.java|43-45|D|P3|ADMIN_OPENID 仅校验长度>=16，未校验微信 openid 真实格式（o 开头 28 位）|弱校验容忍非法配置，占位串仍可能通过|严格格式校验|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\AdminPasswordValidator.java|49-56|H|P3|UNSAFE_DEFAULT_ADMIN_PASSWORDS 清单含明文 "admin123"/"admin"/"password" 写死于源码|弱密码清单公开于源码，低危|移除明文项或仅存哈希|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RedisTokenBlacklistService.java|164-172|B|P3|isRevoked 在 Redis 可用但 key 不存在时直接返回 false，跳过本地内存黑名单|Redis 故障期间撤销的 jti 在恢复后跨实例失效（本地记录被忽略）|合并本地降级查询|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtTokenProvider.java|377-402|T|P3|cleanupExpiredRevokedTokens 分布式锁 tryLock(0,30s) 内遍历全量黑名单，锁超时后 finally unlock 可能释放他实例的锁|大黑名单清理超 30s 时锁竞争异常|分批清理或锁内自校验|open|batch-4
