R4-00435|d:\6\恋爱小程序\apps\admin\src\api\http.ts|12-18,89|B|P1|JWT 明文存于 localStorage（getToken 读 admin_v2_token），无 HttpOnly Cookie/刷新机制，任何 XSS 可窃取管理员令牌（注释自认"改进方向需后端协同"但未实施）|管理后台令牌泄露即全站运营权限沦陷，XSS 链一旦存在则无任何缓解|迁移 HttpOnly Cookie+CSRF 或短 token+refresh 双 token 机制|open|batch-2|
R4-01963|d:\6\恋爱小程序\apps\admin\src\views\activity\Enrollments.vue|63|H|P2|硬编码中文用户可见文案未走 $t()/t()（请先输入有效的活动 ID）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01964|d:\6\恋爱小程序\apps\admin\src\views\activity\Enrollments.vue|77|H|P2|硬编码中文用户可见文案未走 $t()/t()（加载报名列表失败）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01965|d:\6\恋爱小程序\apps\admin\src\views\activity\Enrollments.vue|111|H|P2|硬编码中文用户可见文案未走 $t()/t()（导出失败）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01966|d:\6\恋爱小程序\apps\admin\src\views\activity\Enrollments.vue|151|H|P2|硬编码中文用户可见文案未走 $t()/t()（查看指定活动的报名用户列表，支持 CSV 导出）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01967|d:\6\恋爱小程序\apps\admin\src\views\activity\Enrollments.vue|159|H|P2|硬编码中文用户可见文案未走 $t()/t()（输入活动 ID（如从活动列表跳转则自动填充））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01968|d:\6\恋爱小程序\apps\admin\src\views\activity\Enrollments.vue|164|H|P2|硬编码中文用户可见文案未走 $t()/t()（导出 CSV）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01969|d:\6\恋爱小程序\apps\admin\src\views\activity\Enrollments.vue|200|H|P2|硬编码中文用户可见文案未走 $t()/t()（已报名）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01970|d:\6\恋爱小程序\apps\admin\src\views\business\Coins.vue|59|H|P2|硬编码中文用户可见文案未走 $t()/t()（签到）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01971|d:\6\恋爱小程序\apps\admin\src\views\business\Coins.vue|60|H|P2|硬编码中文用户可见文案未走 $t()/t()（补签）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01972|d:\6\恋爱小程序\apps\admin\src\views\business\Coins.vue|99|H|P2|硬编码中文用户可见文案未走 $t()/t()（加载积分流水失败）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01973|d:\6\恋爱小程序\apps\admin\src\views\business\Coins.vue|155|H|P2|硬编码中文用户可见文案未走 $t()/t()（金币（签到积分）流水）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01974|d:\6\恋爱小程序\apps\admin\src\views\business\Coins.vue|166|H|P2|硬编码中文用户可见文案未走 $t()/t()（用户 ID）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01975|d:\6\恋爱小程序\apps\admin\src\views\business\Coins.vue|176|H|P2|硬编码中文用户可见文案未走 $t()/t()（搜索）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01976|d:\6\恋爱小程序\apps\admin\src\views\business\Coins.vue|201|H|P2|硬编码中文用户可见文案未走 $t()/t()（暂无积分流水数据）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01977|d:\6\恋爱小程序\apps\admin\src\views\business\PromoCodes.vue|86|H|P2|硬编码中文用户可见文案未走 $t()/t()（可用）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01978|d:\6\恋爱小程序\apps\admin\src\views\business\PromoCodes.vue|87|H|P2|硬编码中文用户可见文案未走 $t()/t()（已作废）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01979|d:\6\恋爱小程序\apps\admin\src\views\business\PromoCodes.vue|217|H|P2|硬编码中文用户可见文案未走 $t()/t()（生成数量须为 1-500 之间）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01980|d:\6\恋爱小程序\apps\admin\src\views\business\PromoCodes.vue|226|H|P2|硬编码中文用户可见文案未走 $t()/t()（百分比折扣值不能超过 100）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01981|d:\6\恋爱小程序\apps\admin\src\views\business\PromoCodes.vue|254|H|P2|硬编码中文用户可见文案未走 $t()/t()（已生成 N 个兑换码（示例））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01982|d:\6\恋爱小程序\apps\admin\src\views\business\PromoCodes.vue|321|H|P2|硬编码中文用户可见文案未走 $t()/t()（优惠码管理）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01983|d:\6\恋爱小程序\apps\admin\src\views\business\PromoCodes.vue|343|H|P2|硬编码中文用户可见文案未走 $t()/t()（搜索）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01984|d:\6\恋爱小程序\apps\admin\src\views\business\PromoCodes.vue|415|H|P2|硬编码中文用户可见文案未走 $t()/t()（批量生成兑换码）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01985|d:\6\恋爱小程序\apps\admin\src\views\business\PromoCodes.vue|466|H|P2|硬编码中文用户可见文案未走 $t()/t()（生成中.../生成）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01986|d:\6\恋爱小程序\apps\admin\src\views\business\Shop.vue|98|H|P2|硬编码中文用户可见文案未走 $t()/t()（门票）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01987|d:\6\恋爱小程序\apps\admin\src\views\business\Shop.vue|100|H|P2|硬编码中文用户可见文案未走 $t()/t()（商品）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01988|d:\6\恋爱小程序\apps\admin\src\views\business\Shop.vue|152|H|P2|硬编码中文用户可见文案未走 $t()/t()（加载商城商品失败）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01989|d:\6\恋爱小程序\apps\admin\src\views\business\Shop.vue|239|H|P2|硬编码中文用户可见文案未走 $t()/t()（商品标题不能为空）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01990|d:\6\恋爱小程序\apps\admin\src\views\business\Shop.vue|355|H|P2|硬编码中文用户可见文案未走 $t()/t()（商城管理）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01991|d:\6\恋爱小程序\apps\admin\src\views\business\Shop.vue|395|H|P2|硬编码中文用户可见文案未走 $t()/t()（标题（表头））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01992|d:\6\恋爱小程序\apps\admin\src\views\business\Shop.vue|412|H|P2|硬编码中文用户可见文案未走 $t()/t()（暂无商品数据）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01993|d:\6\恋爱小程序\apps\admin\src\views\business\Shop.vue|458|H|P2|硬编码中文用户可见文案未走 $t()/t()（编辑商品/新增商品）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01994|d:\6\恋爱小程序\apps\admin\src\views\business\Shop.vue|512|H|P2|硬编码中文用户可见文案未走 $t()/t()（保存中.../保存）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01995|d:\6\恋爱小程序\apps\admin\src\views\business\VipBills.vue|63|H|P2|硬编码中文用户可见文案未走 $t()/t()（月度套餐）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01996|d:\6\恋爱小程序\apps\admin\src\views\business\VipBills.vue|70|H|P2|硬编码中文用户可见文案未走 $t()/t()（支付成功）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01997|d:\6\恋爱小程序\apps\admin\src\views\business\VipBills.vue|72|H|P2|硬编码中文用户可见文案未走 $t()/t()（已退款）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01998|d:\6\恋爱小程序\apps\admin\src\views\business\VipBills.vue|214|H|P2|硬编码中文用户可见文案未走 $t()/t()（VIP 账单）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01999|d:\6\恋爱小程序\apps\admin\src\views\business\VipBills.vue|259|H|P2|硬编码中文用户可见文案未走 $t()/t()（加载中...）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02000|d:\6\恋爱小程序\apps\admin\src\views\business\VipBills.vue|302|H|P2|硬编码中文用户可见文案未走 $t()/t()（账单 ID:）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02001|d:\6\恋爱小程序\apps\admin\src\views\business\VipPlans.vue|38|H|P2|硬编码中文用户可见文案未走 $t()/t()（月度套餐）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02002|d:\6\恋爱小程序\apps\admin\src\views\business\VipPlans.vue|45|H|P2|硬编码中文用户可见文案未走 $t()/t()（约 ¥45 / 季）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02003|d:\6\恋爱小程序\apps\admin\src\views\business\VipPlans.vue|58|H|P2|硬编码中文用户可见文案未走 $t()/t()（套餐由客户端 VIP 配置驱动）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02004|d:\6\恋爱小程序\apps\admin\src\views\business\VipPlans.vue|76|H|P2|硬编码中文用户可见文案未走 $t()/t()（该功能规划中，VIP 会员暂缓上线）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02005|d:\6\恋爱小程序\apps\admin\src\views\business\VipPlans.vue|82|H|P2|硬编码中文用户可见文案未走 $t()/t()（数据来源说明）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02006|d:\6\恋爱小程序\apps\admin\src\views\business\VipPlans.vue|113|H|P2|硬编码中文用户可见文案未走 $t()/t()（配置方式说明）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02007|d:\6\恋爱小程序\apps\admin\src\views\business\Wallets.vue|84|H|P2|硬编码中文用户可见文案未走 $t()/t()（扣减）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02008|d:\6\恋爱小程序\apps\admin\src\views\business\Wallets.vue|85|H|P2|硬编码中文用户可见文案未走 $t()/t()（充值）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02009|d:\6\恋爱小程序\apps\admin\src\views\business\Wallets.vue|96|H|P2|硬编码中文用户可见文案未走 $t()/t()（部分冻结/正常）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02010|d:\6\恋爱小程序\apps\admin\src\views\business\Wallets.vue|247|H|P2|硬编码中文用户可见文案未走 $t()/t()（请输入有效的用户 ID）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02011|d:\6\恋爱小程序\apps\admin\src\views\business\Wallets.vue|252|H|P2|硬编码中文用户可见文案未走 $t()/t()（调整金额不能为空且不能为 0）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02012|d:\6\恋爱小程序\apps\admin\src\views\business\Wallets.vue|264|H|P2|硬编码中文用户可见文案未走 $t()/t()（调整成功，用户 N 当前余额）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02013|d:\6\恋爱小程序\apps\admin\src\views\business\Wallets.vue|292|H|P2|硬编码中文用户可见文案未走 $t()/t()（钱包管理）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02014|d:\6\恋爱小程序\apps\admin\src\views\business\Wallets.vue|475|H|P2|硬编码中文用户可见文案未走 $t()/t()（调整钱包余额）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02015|d:\6\恋爱小程序\apps\admin\src\views\business\Wallets.vue|497|H|P2|硬编码中文用户可见文案未走 $t()/t()（提交中.../确认调整）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02016|d:\6\恋爱小程序\apps\admin\src\views\forum\CampusTopics.vue|69|H|P2|硬编码中文用户可见文案未走 $t()/t()（加载校园话题失败）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02017|d:\6\恋爱小程序\apps\admin\src\views\forum\CampusTopics.vue|128|H|P2|硬编码中文用户可见文案未走 $t()/t()（拒绝时必须填写备注（拒绝原因））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02018|d:\6\恋爱小程序\apps\admin\src\views\forum\CampusTopics.vue|182|H|P2|硬编码中文用户可见文案未走 $t()/t()（匿名用户）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02019|d:\6\恋爱小程序\apps\admin\src\views\forum\CampusTopics.vue|190|H|P2|硬编码中文用户可见文案未走 $t()/t()（正常（状态标签））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02020|d:\6\恋爱小程序\apps\admin\src\views\forum\CampusTopics.vue|204|H|P2|硬编码中文用户可见文案未走 $t()/t()（待审核）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02021|d:\6\恋爱小程序\apps\admin\src\views\forum\CampusTopics.vue|223|H|P2|硬编码中文用户可见文案未走 $t()/t()（审核与管理校园圈话题）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02022|d:\6\恋爱小程序\apps\admin\src\views\forum\CampusTopics.vue|271|H|P2|硬编码中文用户可见文案未走 $t()/t()（暂无校园话题数据）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02023|d:\6\恋爱小程序\apps\admin\src\views\forum\CampusTopics.vue|314|H|P2|硬编码中文用户可见文案未走 $t()/t()（确定要删除话题…（软删除））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02024|d:\6\恋爱小程序\apps\admin\src\views\forum\CircleTopics.vue|90|H|P2|硬编码中文用户可见文案未走 $t()/t()（请先选择或输入有效的圈子 ID）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02025|d:\6\恋爱小程序\apps\admin\src\views\forum\CircleTopics.vue|211|H|P2|硬编码中文用户可见文案未走 $t()/t()（查看与管理指定兴趣圈内的话题）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02026|d:\6\恋爱小程序\apps\admin\src\views\forum\CircleTopics.vue|216|H|P2|硬编码中文用户可见文案未走 $t()/t()（请选择圈子...）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02027|d:\6\恋爱小程序\apps\admin\src\views\forum\CircleTopics.vue|231|H|P2|硬编码中文用户可见文案未走 $t()/t()（当前圈子：）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02028|d:\6\恋爱小程序\apps\admin\src\views\forum\CircleTopics.vue|253|H|P2|硬编码中文用户可见文案未走 $t()/t()（暂无话题数据）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02029|d:\6\恋爱小程序\apps\admin\src\views\forum\CircleTopics.vue|261|H|P2|硬编码中文用户可见文案未走 $t()/t()（已置顶）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02030|d:\6\恋爱小程序\apps\admin\src\views\forum\CircleTopics.vue|270|H|P2|硬编码中文用户可见文案未走 $t()/t()（取消置顶/置顶）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
