identity	file	bytes	dim	gray_std	entropy	colors	status
A	SUBPACKAGES_SETUP_SCHEDULE_INDEX-默认.png	51990	377x814	44.15	2.41	3842	ok
A	SUBPACKAGES_SUPPORT_FEEDBACK_INDEX-默认.png	63475	377x814	46.02	2.82	4790	ok
A	SUBPACKAGES_TOOLS_ACTIVITIES_DETAIL-默认.png	213068	377x814	83.6	5.06	49816	ok
A	SUBPACKAGES_TOOLS_DAILY-QUESTION_INDEX-默认.png	42684	377x814	46.28	2.87	3389	ok
A	SUBPACKAGES_TOOLS_HEART-SIGNALS_INDEX-默认.png	94514	377x814	44.22	4.31	10608	ok
A	SUBPACKAGES_TOOLS_HELP_INDEX-默认.png	95528	377x814	52.24	2.54	4048	ok
A	SUBPACKAGES_TOOLS_LOVE-CENTER_CONSULTING-默认.png	29612	377x814	41.15	1.61	2616	ok
A	SUBPACKAGES_TOOLS_LOVE-CENTER_INDEX-默认.png	30184	377x814	41.24	1.52	2450	ok
A	SUBPACKAGES_TOOLS_LOVE-CENTER_MBTI-默认.png	113405	377x814	50.85	4.09	6522	ok
A	SUBPACKAGES_TOOLS_LOVE-CENTER_NEARBY-默认.png	214374	377x814	97.19	6.03	46941	ok
A	SUBPACKAGES_TOOLS_SEARCH_INDEX-默认.png	33161	377x814	39.48	1.42	2855	ok
A	SUBPACKAGES_TOOLS_SECURITY_INDEX-默认.png	79072	377x814	49.24	2.42	4032	ok
A	SUBPACKAGES_VILLAGE_VILLAGE_DETAIL-默认.png	177140	377x814	88.3	3.91	45587	ok
A	SUBPACKAGES_VILLAGE_VILLAGE_HISTORY-默认.png	164538	377x814	52.79	3.05	10212	ok
A	SUBPACKAGES_VILLAGE_VILLAGE_INDEX-默认.png	160763	377x814	69.71	3.62	31899	ok
A	SUBPACKAGES_VILLAGE_VILLAGE_POST-默认.png	68291	377x814	42.09	2.42	3990	ok
A	SUBPACKAGES_VILLAGE_VILLAGE_PUBLISH-默认.png	60043	377x814	41.8	1.79	4243	ok
A	SUBPACKAGES_VILLAGE_VILLAGE_TAG-POSTS-默认.png	29178	377x814	41.89	1.4	4643	ok
B	PAGES_DISCOVER_INDEX-默认.png	220876	377x814	98.11	6.05	63383	ok
B	PAGES_HOME_INDEX-滚动后.png	115878	377x814	49.11	3.59	17524	ok
B	PAGES_HOME_INDEX-默认.png	158446	377x814	67.38	4.87	29020	ok
B	PAGES_LOGIN_INDEX-交互后.png	105373	377x814	70.87	4.05	15265	ok
B	PAGES_LOGIN_INDEX-默认.png	166717	377x814	55.78	4.61	49881	ok
B	PAGES_MESSAGES_INDEX-默认.png	111829	377x814	51.39	3.58	11965	ok
B	PAGES_NEARBY_INDEX-滚动后.png	201782	377x814	65.92	4.6	50465	ok
B	PAGES_NEARBY_INDEX-默认.png	129249	377x814	47.5	4.23	29429	ok
B	PAGES_PROFILE_INDEX-滚动后.png	95919	377x814	44.42	3.23	7055	ok
B	PAGES_PROFILE_INDEX-默认.png	123359	377x814	49.31	4.54	11473	ok
B	PAGES_REGISTER_INDEX-交互后.png	96166	377x814	68.29	4.18	5946	ok
B	PAGES_REGISTER_INDEX-默认.png	96166	377x814	68.29	4.18	5946	ok
B	PAGES_REGISTER_SUCCESS-默认.png	76335	377x814	68.82	3.69	4391	ok
B	SUBPACKAGES_CAMPUS_CAMPUS_CERTIFICATION-默认.png	78514	377x814	48.16	2.47	5234	ok
B	SUBPACKAGES_CAMPUS_CAMPUS_HUB-滚动后.png	221738	377x814	64.64	4.77	56360	ok
B	SUBPACKAGES_CAMPUS_CAMPUS_HUB-默认.png	174614	377x814	60.86	4.59	34907	ok
B	SUBPACKAGES_CAMPUS_CAMPUS_POST-TOPIC-默认.png	68324	377x814	44.75	3.17	6109	ok
B	SUBPACKAGES_CAMPUS_CAMPUS_TOPIC-DETAIL-默认.png	39492	377x814	42.28	1.77	4758	ok
B	SUBPACKAGES_CHAT_CHAT-SESSION_INDEX-默认.png	42985	377x814	40.05	1.76	4495	ok
B	SUBPACKAGES_CHAT_OFFICIAL-CHAT_INDEX-默认.png	143362	377x814	61.92	4.41	25369	ok
B	SUBPACKAGES_CIRCLES_CIRCLES_CIRCLE-HOME-默认.png	194651	377x814	61.73	5.09	56873	ok
B	SUBPACKAGES_CIRCLES_CIRCLES_INDEX-默认.png	174723	377x814	49.49	4.19	36388	ok
B	SUBPACKAGES_CIRCLES_CIRCLES_POST-TOPIC-默认.png	66262	377x814	44.37	3.18	5901	ok
B	SUBPACKAGES_CIRCLES_CIRCLES_TOPIC-DETAIL-默认.png	40007	377x814	45.43	1.9	3296	ok
B	SUBPACKAGES_CIRCLES_CIRCLES_TOPICS-默认.png	54632	377x814	46.38	2.13	4922	ok
B	SUBPACKAGES_DISCOVER-EXTRA_DISCOVER_HISTORY-默认.png	39534	377x814	38.5	2.6	3038	ok
B	SUBPACKAGES_DISCOVER-EXTRA_DISCOVER_MATCH-SUCCESS-默认.png	126629	377x814	56.07	4.56	17428	ok
B	SUBPACKAGES_DISCOVER-EXTRA_HOME_SEGMENT-默认.png	92383	377x814	53.43	2.67	16818	ok
B	SUBPACKAGES_DISCOVER-EXTRA_LIKES-VISITORS_INDEX-默认.png	121257	377x814	54.63	3.4	13335	ok
B	SUBPACKAGES_DISCOVER-EXTRA_LIKES_INDEX-默认.png	134951	377x814	52.87	3.94	16065	ok
B	SUBPACKAGES_DISCOVER-EXTRA_NEARBY_PEOPLE-默认.png	70575	377x814	43.57	2.35	4008	ok
B	SUBPACKAGES_DISCOVER_ACTIVITIES_INDEX-默认.png	101070	377x814	46.15	2.99	5906	ok
B	SUBPACKAGES_DISCOVER_DISCUSSIONS_INDEX-默认.png	81852	377x814	46.62	2.7	4629	ok
B	SUBPACKAGES_LEGAL_AGREEMENT_INDEX-默认.png	183256	377x814	49.56	3.2	3655	ok
B	SUBPACKAGES_LEGAL_PRIVACY_INDEX-默认.png	199736	377x814	50.43	3.37	3829	ok
B	SUBPACKAGES_MARKET_DETAIL_INDEX-默认.png	23189	377x814	38.57	0.92	2293	ok
B	SUBPACKAGES_MARKET_SHOP_INDEX-默认.png	29229	377x814	38.8	2.14	2384	ok
B	SUBPACKAGES_MARKET_WALLET_INDEX-默认.png	29811	377x814	43.95	1.88	2823	ok
B	SUBPACKAGES_PROFILE-EXTRA_FEEDBACK_HISTORY-默认.png	66100	377x814	44.19	2.13	4300	ok
B	SUBPACKAGES_PROFILE-EXTRA_PROFILE_ALBUM-默认.png	138347	377x814	66.94	4.69	39810	ok
B	SUBPACKAGES_PROFILE-EXTRA_PROFILE_FAVORITES-默认.png	81801	377x814	53.09	2.45	15897	ok
B	SUBPACKAGES_PROFILE-EXTRA_PROFILE_LOCATION-默认.png	110096	377x814	46.55	3.7	14867	ok
B	SUBPACKAGES_PROFILE-EXTRA_PROFILE_OTHER-默认.png	281661	377x814	68.13	5.67	61600	ok
B	SUBPACKAGES_PROFILE-EXTRA_PROFILE_PRIVACY-默认.png	40749	377x814	44.57	2.18	3750	ok
B	SUBPACKAGES_PROFILE-EXTRA_PROFILE_TASKS-默认.png	78960	377x814	43.9	3.93	3837	ok
B	SUBPACKAGES_PROFILE-EXTRA_PROFILE_VISITORS-默认.png	123376	377x814	51.29	3.24	17249	ok
B	SUBPACKAGES_PROFILE-EXTRA_SETTINGS_DND-默认.png	75169	377x814	46.17	3.54	5378	ok
B	SUBPACKAGES_PROFILE-EXTRA_SETTINGS_INDEX-默认.png	63809	377x814	42.35	2.62	4506	ok
B	SUBPACKAGES_PROFILE-EXTRA_VERIFICATION_INDEX-默认.png	87523	377x814	42.36	3.46	5564	ok
B	SUBPACKAGES_PROFILE-EXTRA_VERIFICATION_REAL-NAME-默认.png	85774	377x814	43.75	3.84	6152	ok
B	SUBPACKAGES_SETUP_CAMPUS_INDEX-默认.png	78544	377x814	46.1	3.17	5927	ok
B	SUBPACKAGES_SETUP_INTEREST_INDEX-默认.png	100918	377x814	47.86	2.44	4229	ok
B	SUBPACKAGES_SETUP_PROFILE_INDEX-默认.png	191444	377x814	68.48	4.83	48873	ok
B	SUBPACKAGES_SETUP_RECOMMEND-PREF_INDEX-默认.png	81332	377x814	48.14	3.17	5722	ok
B	SUBPACKAGES_SETUP_SCHEDULE_INDEX-默认.png	51782	377x814	44.14	2.41	3841	ok
B	SUBPACKAGES_SUPPORT_FEEDBACK_INDEX-默认.png	63368	377x814	46.01	2.82	4796	ok
B	SUBPACKAGES_TOOLS_ACTIVITIES_DETAIL-默认.png	212881	377x814	83.59	5.06	49801	ok
B	SUBPACKAGES_TOOLS_DAILY-QUESTION_INDEX-默认.png	42548	377x814	46.27	2.87	3389	ok
B	SUBPACKAGES_TOOLS_HEART-SIGNALS_INDEX-默认.png	96697	377x814	44.6	4.26	10515	ok
B	SUBPACKAGES_TOOLS_HELP_INDEX-默认.png	95399	377x814	52.22	2.54	4049	ok
B	SUBPACKAGES_TOOLS_LOVE-CENTER_CONSULTING-默认.png	29498	377x814	41.14	1.6	2611	ok
B	SUBPACKAGES_TOOLS_LOVE-CENTER_INDEX-默认.png	30126	377x814	41.23	1.52	2451	ok
B	SUBPACKAGES_TOOLS_LOVE-CENTER_MBTI-默认.png	113253	377x814	50.84	4.09	6516	ok
B	SUBPACKAGES_TOOLS_LOVE-CENTER_NEARBY-默认.png	214130	377x814	97.19	6.03	46926	ok
B	SUBPACKAGES_TOOLS_SEARCH_INDEX-默认.png	33160	377x814	39.46	1.42	2858	ok
B	SUBPACKAGES_TOOLS_SECURITY_INDEX-默认.png	78914	377x814	49.23	2.42	4024	ok
B	SUBPACKAGES_VILLAGE_VILLAGE_DETAIL-默认.png	177068	377x814	88.3	3.91	45588	ok
B	SUBPACKAGES_VILLAGE_VILLAGE_HISTORY-默认.png	164517	377x814	52.8	3.05	10214	ok
B	SUBPACKAGES_VILLAGE_VILLAGE_INDEX-默认.png	160697	377x814	69.7	3.62	31898	ok
B	SUBPACKAGES_VILLAGE_VILLAGE_POST-默认.png	68250	377x814	42.09	2.42	3990	ok
B	SUBPACKAGES_VILLAGE_VILLAGE_PUBLISH-默认.png	59887	377x814	41.78	1.79	4244	ok
B	SUBPACKAGES_VILLAGE_VILLAGE_TAG-POSTS-默认.png	29260	377x814	41.9	1.4	4635	ok
