matched: 185
== subpackages/discover-extra/discover/matching 24
   MT01 | normal | EXECUTED | dev-preview 冷启动：QA 复验入口停在匹配中页，2.6s 动画兜底结束后不跳转不 Toast
   DQ06 | critical | FAILED | 提交回答防连点：快击提交 ×5 只提交 1 次
   DQ07 | normal | FAILED | 回答输入边界：600 字截断为 500（maxlength），emoji/HTML 字符回显正常可提交
   DQ08 | normal | FAILED | 匿名回答勾选切换：checkbox 选中态与勾图标随点击往返
   DQ09 | normal | FAILED | 回答列表分页：有更多时点「加载更多」页码+1 追加；无更多显「没有更多回答了」
   DQ10 | noop | EXECUTED | scroll-view 触底：onAnswersScrollLower 等价加载更多，无重复触发风暴
   DQ11 | normal | FAILED | 拉题失败错误态：文案+重试按钮，点击重试恢复
   DQ12 | navigation | EXECUTED | 打开即返回（栈=1 直开 tap 返回）：navigateBack 无 fail 兜底——死按钮观测点
== subpackages/tools/love-center/index 6
   LC01 | navigation | EXECUTED | 恋爱中心登录直开：快捷入口「附近的人」+「恋爱测试」区渲染；商业化封存默认下四板块区与 consulting 入口不渲染
   LC02 | navigation | FAILED | 快捷入口「附近的人」：点击跳转 love-center/nearby 内容页
   LC03 | navigation | EXECUTED | 恋爱测试入口 MBTI：点击跳转 love-center/mbti（web-view）
   LC04 | normal | EXECUTED | 四板块点击路由（需 commerce course/consult 开启环境）：咨询类→帮助页，课程类→咨询课程页
   LC05 | navigation | FAILED | AppShell 顶部返回：栈≥2 回来源页；栈=1 兜底 switchTab 首页（两级兜底）
   LC06 | normal | EXECUTED | 快击 MBTI 入口 ×3：观测页面栈是否重复入栈（导航按钮防连点观测）
== subpackages/tools/help/index 9
   HP01 | navigation | EXECUTED | 帮助中心登录直开：FAQ 6 项全部收起 + 客服三入口 + 底部服务说明渲染
   HP02 | normal | EXECUTED | FAQ 单项展开/收起：答案区出现 + 箭头旋转，再点收起
   HP03 | normal | FAILED | FAQ 手风琴互斥：依次点击 6 项，任意时刻至多一项展开
   HP04 | navigation | EXECUTED | 在线客服入口：跳转官方号会话 official-chat?accountId=official-assistant
   HP05 | navigation | EXECUTED | 意见反馈入口：跳转反馈历史页 feedback/history
   HP06 | normal | EXECUTED | 复制客服邮箱：剪贴板=support@campuslove.app + toast「已复制」（MP-R1-HELP-101）
   HP07 | navigation | FAILED | AppShell 顶部返回：栈≥2 回来源页；栈=1 兜底 switchTab 首页
   HP08 | normal | EXECUTED | FAQ 快击 ×5：expandedIndex 布尔翻转稳定，最终态与点击奇偶一致，无布局崩坏
   HP09 | navigation | EXECUTED | 未登录直开：usePageAccess 无 token 一律放行，页面正常渲染不强制跳登录
== subpackages/tools/security/index 13
   SC01 | normal | EXECUTED | 身份B 冷启动直达安全中心：五组卡片完整渲染 + 手机号脱敏文案，不闪错误
   SC02 | normal | EXECUTED | 点「手机号」行打开换绑弹层：空表单两输入框 + 取消/确认按钮
   SC03 | normal | FAILED | 换绑手机号非法输入两段校验：非 1[3-9] 号段报格式错，合法号段空密码报密码必填
   SC04 | critical | FAILED | 换绑手机号合法提交（mock 演示闭环）：弹层关闭 + 演示提示 Toast，不调真实接口
   SC05 | normal | FAILED | 点「修改密码」行打开弹层 + 空表单提交 → 新密码长度错误文案（空提交分支）
   SC06 | normal | FAILED | 修改密码非法序列：两次输入不一致 → mismatch；补旧密码前的各段校验逐条命中
   SC07 | critical | FAILED | 修改密码合法提交（mock）：弹层关 + 成功 Toast + 不清 token 不跳登录（real 才吊销重登）
   SC08 | normal | FAILED | 两个表单弹层三路关闭之遮罩/取消：点击均关弹层且路由不变
   SC09 | normal | FAILED | 第三方微信绑定行按登录方式分支：wechat→二次确认 Modal，非 wechat→演示提示 Toast
   SC10 | navigation | EXECUTED | 「隐私权限设置」跳转 profile/privacy 并返回落回安全中心
   SC11 | navigation | EXECUTED | 「隐私政策」跳转 legal/privacy 并返回落回安全中心
   SC12 | critical | EXECUTED | 注销账号两层弹层：错误确认文字报 mismatch，正确「注销」在 mock 下仅演示提示不真注销
   SC13 | normal | EXECUTED | 登录设备组（mock）：仅当前设备一条且无「下线」按钮；real 分支 kick 流程为条件用例
== subpackages/tools/search/index 11
   SE01 | normal | EXECUTED | 身份B 冷启动直达搜索页：输入框自动聚焦 + mock 热搜/历史双空 → EmptyState 兜底，不闪错误
   SE02 | navigation | FAILED | 返回键与「取消」双入口：栈=1 深链时兜底 switchTab 发现页
   SE03 | normal | EXECUTED | 用户 Tab 输入防抖 300ms 自动搜索（mock searchUsers 按昵称/学校过滤）并渲染结果行
   SE04 | navigation | FAILED | 用户结果行点击 → 跳他人主页携带 userId，返回落回搜索页且结果保留
   SE05 | normal | FAILED | 三 Tab（用户/标签/学校）切换：高亮态迁移 + 关键字保留不丢
   SE06 | normal | EXECUTED | 标签 Tab 搜索（mock 帖子恒空）→ noResult 空态，无结果计数尾巴与分页残留
   SE07 | normal | FAILED | 学校 Tab：输入校名出学校行 → 点击展开校园主页内联预览 → 再点收起
   SE08 | navigation | FAILED | 校园预览内用户头像点击 → 他人主页（有数据分支）
   SE09 | normal | FAILED | 清空按钮：关键字清空回热搜/历史视图 + 100ms 后重新聚焦
   SE10 | normal | EXECUTED | 特殊字符/超长/emoji 输入：不崩溃、正常回显与提交、无 XSS 渲染
   SE11 | normal | EXECUTED | 空关键字回车/确认：onConfirm trim 守卫直接 return，不触发搜索不跳转
== subpackages/tools/heart-signals/index 11
   HS01 | normal | EXECUTED | 身份A（资料未完善）冷启动直达：LockScreen 锁定态 + 服务端权威完成度，不闪信号列表
   HS02 | normal | EXECUTED | 身份B 冷启动直达：待处理 Tab 默认 + 徽标2 + 两张卡片 + 过期信号倒计时显示「已过期」
   HS03 | navigation | EXECUTED | 返回键（栈>1）：navigateBack 回来源页且状态恢复
   HS04 | navigation | EXECUTED | 深链栈=1 返回兜底：switchTab 落首页 Tab
   HS05 | normal | EXECUTED | 三状态 Tab 切换：待处理/已接受/已拒绝各自空态文案与分组正确
   HS06 | critical | FAILED | 接受心动信号（mock）：成功 Toast + 卡片移出待处理并入已接受 Tab
   HS07 | critical | FAILED | 拒绝心动信号（mock）：Toast + 移出待处理，declined 口径归入「已拒绝」Tab
   HS08 | critical | FAILED | 已接受信号「开聊」：mock 临时会话创建成功并跳聊天页携带 fromSignal=1&sessionId
   HS09 | navigation | EXECUTED | 信号卡片头点击 → 跳对应用户主页（fromUserId 透传）
   HS10 | critical | EXECUTED | 接受按钮快击×5：仅一次状态变更，不重复 Toast/不串卡
   HS11 | noop | EXECUTED | 重复进出×3（onShow 重拉）+ 30s 倒计时刷新：mock 深拷贝复原数据，console 无错
== subpackages/tools/activities/detail 8
   AD01 | normal | EXECUTED | 冷启动深链 ?id=11：骨架 → store 未命中 → 示例活动兜底（新人礼遇+示例徽标）不闪错误空态
   AD02 | navigation | EXECUTED | 返回键深链栈=1：openAppPath 兜底跳发现·活动列表页
   AD03 | critical | FAILED | 报名示例活动（本地闭环）：按钮切「退出报名」+ 报名成功 Toast + 助手消息落 storage
   AD04 | critical | FAILED | 退出报名：恢复「立即报名」按钮 + 退出成功 Toast
   AD05 | normal | EXECUTED | 「分享」按钮复制小程序内链接：剪贴板内容含 ?id= 且 Toast 提示已复制
   AD06 | critical | EXECUTED | 报名按钮快击×5（示例活动本地闭环）：仅一次报名语义，助手消息不重复堆积
   AD07 | noop | EXECUTED | 详情 scroll-view 滚动到底/顶：介绍区完整可读无遮挡
   AD08 | normal | EXECUTED | 打开即返回 + 重复进出×3：报名态与助手消息无重复残留
== subpackages/tools/love-center/nearby 9
   NB01 | normal | EXECUTED | 身份B 冷启动直达附近的人：loading → 蒙面卡片渲染（?化名字/模糊头像/解锁提示条）
   NB02 | navigation | EXECUTED | 返回键深链栈=1：switchTab 落首页 Tab 兜底
   NB03 | critical | EXECUTED | 点赞（like 按钮）：真实链路 swipeRight → 成功 Toast + 卡片推进下一张
   NB04 | normal | EXECUTED | 跳过（skip 按钮/左滑）：本地移除卡片推进，无网络副作用 Toast
   NB05 | critical | EXECUTED | 超级喜欢（star 按钮）：swipeRight(isSuper=true) 真实链路 → 匹配则跳聊天或推进
   NB06 | critical | FAILED | 发消息（详情浮层）：进入 chat-session?userId= 且会话懒创建链路可达
   NB07 | normal | EXECUTED | CardSwiper 方向语义：右滑=喜欢、左滑=跳过（手势与按钮同语义）
   NB08 | normal | FAILED | 卡片点击详情浮层开合：信息展示与关闭路径可用
   NB09 | normal | FAILED | 空态降级 CTA「看全部推荐」（条件用例）：卡片耗尽后重拉全量推荐
== subpackages/tools/love-center/mbti 8
   MB01 | normal | EXECUTED | 身份B 冷启动直达 MBTI：mbtiUrl 为空走本地模式 → 头部/16 型网格/4 题卷完整渲染
   MB02 | normal | EXECUTED | 选项点选高亮：选中态样式与 aria-checked 同步，可改选
   MB03 | normal | EXECUTED | 未答完提交：Toast「请先完成」拦截，不弹结果层（空提交三态之空）
   MB04 | critical | EXECUTED | 全部作答提交（如全选 B=ISTJ 口径）：结果弹层类型码=所选字母组合+名称+4 条恋爱建议
   MB05 | normal | FAILED | 结果弹层三路关闭：遮罩/「关闭」仅关弹层，「重新测试」关弹层并清空答案
   MB06 | normal | EXECUTED | 改选重测：全选 A（ENFP 口径）→ 结果类型码随选择正确变化
   MB07 | navigation | EXECUTED | 返回键深链栈=1：switchTab 落首页兜底
   MB08 | noop | EXECUTED | content-scroll 滚动到底/顶：16 型网格与试卷完整可达无遮挡
== subpackages/tools/love-center/consulting 4
   CO01 | normal | EXECUTED | 身份B 冷启动直达情感咨询：commerce 总闸 DB seed 为 FALSE → 封存卡（锁+文案），无 ¥ 课程与报名按钮
   CO02 | navigation | FAILED | 封存态 AppShell 返回键：深链栈=1 时回退可用
   CO03 | normal | FAILED | （条件用例）commerce.consult 开启：3 门课程卡渲染 + 报名 Toast 演示闭环
   CO04 | noop | EXECUTED | 封存卡滚动/无溢出检查：一屏内完整呈现，无横向溢出
